puuid,summonerId,summonerName,riotIdGameName,riotIdTagline
llGqL7VtQ3XoaPwpIPdcSJm7BkVmn5NHGF7309qfR5CtvB8H30CS7bfyXfhyukPvnBJ_vVIPriz7mg,7JGG52zDyTY1WCHX6mEQvi4-AzHwYpkLk7j84Au6ilsPtRQ,way to the ban,way,kill
WyiChbi8l9Q9DMb4IaBIV9eOvM0-zNdOKauxEF4-ftugb7Y6tlWE4DgrJ0GkgrzfNv1ZZXDqVNbV1w,nOpKmv_TTt9hYYYUv9dIT4HOYaJn4Ap6wQpPpi-z4UAXqA,Adonay,Adonay,BR1
VZhFzntICn7Ja91hSmgstVOacnvS7WbCccwmPX4hkjBD9t_5arONYoxL5hoqGzErqTcZ-nzIm7We6g,SaNqAxuA_N04iA7xqkgHPDns24Yl_ERpFDna0WkNVNMGgOM,só da minha dona,Wes,Cat
8AgzUHFbvOXCOlRzgcD_hPhGfYaOldcoG6C0nVicDDNtG2OoNbdsYotBzEYb8CF9J7_wZ37alqPMbg,_5DJ2A9sJZS-0dHj66-T9sqX1rsoCShyTnf26iviJ2AK,greglegal,greglegal,ibipa
9yM0w9BLeVeySyu_FeFXcHRo2EYE9qWOsyGrPsGivL10zAz-O8s2vXCOzZ1DinBCsOTIwEXFBgbymw,svMZ9Tl_Oq2n9sPN4czJzK7YSl44m_MV46BtMcra6DV3Gw,twitch fitslol,twitch fitslol,BR1
guNGQOyxmlM0NIz2oPtc5sj2WO0H4-aV9hyzy6AIiwC2d_f2eUWiEe0JV4sV9_z2dBegTVmb6wZzwQ,_u-q5r-t8yba3ILPNkBTTqVRY9al381wpE8V3w2h49v54Gc,jenna zz,Jenna,BR2
vvgDj3lWokfrACEncYZtRS6oRjh2QnEXu9klQzXQdgFc6GpAQ8tDMlJeYKEzoO52Q7SrwPWPVotgsA,4MPkfo85izsvUHIzCMNcorh1O89wyJTkaNyNNJQ0sqAyESD2ocmAiJ7gsg,siйicky,siйicky,BR1
xKs7lIom3WmusN4DfzdWlURdA5GXBopfelyTHaDvxlkc-DAIIKuRx7_tNQh6mOecnn0RVc3TSLJ-vw,ZJyNugGRXObVQREMq3_DTM2MietkT49cRMH2Ena801HmRA,lck gava,gava,1111
PqkHV21J2H3fUAvLdMPFlNJMij9_rrVdr4iI325HEYuzJ2AC74cVw0fgFXIC_oaI7ZnW2DjvYlKkfQ,TQjkhgnzS2fNdvjnrvVaw9FTQ8C0ilX5W9xqZJbMQ78AK7U,hook on bush,miruduuuuu,007
dtCI3lVLK_De65tgDDcHkIp6o--ufsS4GWgN2kawMTqMfgDWFmuiA0HWPEE_rA30E25LAemr087Iqw,WaY3PycEnRFMM_EWG-1V6DZs1TvRB4_5UyQgr_Ptx3S0xTc,FOCADO NA FUVEST,generalzhukov1,8027
fEdVSqFQ43jVrbyHaSEbLZRQMzNYiNRsN-X46oeZ_fueKnS48vEMbhmKKsCQafieCYlGmxv6IlBNxw,FwelI0ei-SwuTgfp1U5BuSIsVA65wgewbNIUJA3YuNEL3BI,sxmkz,Samkz,KZ03
d0JhhNgojZVJKMSJEVWvu3tX3L22bOkS3LCqYmB8y1b3RZxOhUPxW_QII5ajtBxnVpv1ulmTnu0fIA,3DLqLBZQXIziGuxYxZDVgUcx-WcvUghVZB_aKgSlIuVL,sèrjão,Porttinari,1337
e36wEYok-jrc9ico7fNldepF0WSPi7jku26TZLCI4WBfm4RUJTvo9kMB6FSe8YLQpaHOWqip7cOLbQ,ZwsR5MfL2CSC6FBzE6BPNsvClFte6g0ULo2iHeSgLOXA5A,Aegis,Aegis,BR1
W-DZ7dMRiQ1gH1_HJfow8unRo9BGRo74QtFsr_Nd9Hw8egPVWrEHo_wYRp9rmClLQH_ueq2XKwp2Mg,X7PEThol2SSfLVgo_0PQYQRbAOWK7orPCqqE4_-bYkTm1w,Reiony,Reiony,MIC
jYpyDITHq1OOP9_lXcHrR_l2xqfahv4jfLe0usDFVpGVIl6JFQDM8qCcg40Crm-7Wt1LgtckHsK2nQ,WItWA8e3ZYwkpn-ADREalNW7CxkxdQpePnuRhuFhimA-AQ,FIORA MECHANICS,FIORA MECHANICS,BR1
ppNM3XrxhcLJ3u6SFigM3kvIvLbN4ZjU7SvB3fqpkoILmA_A_kk9RuyNYIjMaW2ig3MV8uZ-Zfz50Q,_CN61pjSXMNRrZGu8LPGqpdFqE07KyL7UEf90JlUAh25_X8rJ0wBdU-bBw,ikkansei,ikkansei,BR1
